threat_type,flee_status,armed_with,city,state,latitude,longitude,age,gender,race,was_mental_illness_related,body_camera,year,row_id,has_gun,has_knife,has_blunt_object,has_vehicle,has_replica,has_unarmed,has_other,race_std,share_white,share_black,share_native_american,share_asian,share_hispanic,share_two_or_more,share_missing
point,nan,gun,fairbanks,AK,64.8238073,-147.8695443,27.0,male,W,False,False,2021,1208,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
shoot,not,gun,lakeland,FL,28.1125376,-81.9417458,35.0,male,B,False,False,2021,1209,1,0,0,0,0,0,0,B,0,1,0,0,0,0,0
shoot,car,gun,sparkman,AR,33.9167689,-92.8482207,43.0,male,W,False,False,2021,1210,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
point,nan,gun,burbank,CA,34.1956642,-118.337588,30.0,male,W,False,False,2021,1211,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
attack,not,undetermined,reedsport,OR,43.6985401,-124.1110964,30.0,male,W,False,False,2021,1212,0,0,0,0,0,0,1,W,1,0,0,0,0,0,0
threat,car,gun,minneola,KS,37.4406613,-100.0150849,67.0,male,W,False,False,2021,1213,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
threat,foot,gun,riverside,CA,33.9756684,-117.3441923,19.0,male,B,False,False,2021,1214,1,0,0,0,0,0,0,B,0,1,0,0,0,0,0
threat,foot,knife,rochester,NY,43.1570955,-77.6168461,29.0,male,B,True,True,2021,1215,0,1,0,0,0,0,0,B,0,1,0,0,0,0,0
flee,other,gun,red river parish,LA,32.0842949,-93.3792057,42.0,male,W,False,False,2021,1216,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
shoot,car,gun,bartholomew county,IN,Unknown/Missing,Unknown/Missing,30.0,male,W,False,False,2021,1217,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
point,not,gun,cape coral,FL,26.669577,-82.029226,49.0,male,W,False,False,2021,1218,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
threat,not,knife,danville,CA,37.8113224,-121.9908551,32.0,male,B,False,True,2021,1219,0,1,0,0,0,0,0,B,0,1,0,0,0,0,0
shoot,car,gun,memphis,TN,36.2201201,-86.7814307,31.0,female,B,False,True,2021,1220,1,0,0,0,0,0,0,B,0,1,0,0,0,0,0
move,not,knife,valdosta,GA,30.8490103,-83.3359025,43.0,male,W,False,False,2021,1221,0,1,0,0,0,0,0,W,1,0,0,0,0,0,0
move,not,knife,harrison township,OH,39.8083886,-84.1908811,24.0,male,W,False,False,2021,1222,0,1,0,0,0,0,0,W,1,0,0,0,0,0,0
shoot,not,gun,kimberling city,MO,Unknown/Missing,Unknown/Missing,33.0,male,W,False,False,2021,1223,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
point,not,gun,austin,AR,34.9812244,-91.9884936,24.0,male,W,False,False,2021,1224,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
attack,foot,knife;knife,monahans,TX,31.579207946386063,-102.92056982179056,51.0,male,B,False,False,2021,1225,0,1,0,0,0,0,0,B,0,1,0,0,0,0,0
point,not,gun,wasilla,AK,Unknown/Missing,Unknown/Missing,25.0,male,W,False,False,2021,1226,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
attack,other,gun;vehicle,reidsville,GA,32.1004742,-82.1096531,51.0,male,W,False,False,2021,1227,1,0,0,1,0,0,0,W,1,0,0,0,0,0,0
point,foot,gun,palm bay,FL,28.0090868,-80.6127298,28.0,male,B,False,False,2021,1228,1,0,0,0,0,0,0,B,0,1,0,0,0,0,0
