NAME,DP03_0128PE,DP02_0062PE,DP03_0062E,DP05_0037PE,DP05_0045PE,DP05_0053PE,DP05_0061PE,DP05_0090PE,DP05_0035PE,DP05_0033E,state
Alabama,15.2,29.9,66659,64.0,25.2,0.5,1.5,6.0,6.1,5157699,01
Alaska,10.2,28.5,95665,58.7,2.5,14.1,6.0,7.7,15.0,740133,02
Arizona,11.7,23.3,81486,57.3,4.8,4.0,4.0,32.1,20.4,7582384,04
Arkansas,15.5,33.1,62106,68.2,14.2,0.5,1.8,9.5,11.8,3088354,05
California,11.8,20.5,100149,38.1,5.4,1.4,16.1,40.8,19.8,39431263,06
Colorado,9.6,19.0,97113,69.4,4.3,1.2,3.5,23.2,15.2,5957494,08
Connecticut,10.2,25.4,96049,63.7,10.8,0.4,4.8,19.2,12.3,3675069,09
Delaware,9.6,29.0,87534,58.2,22.0,0.4,4.8,11.7,9.1,1051917,10
District of Columbia,17.3,14.3,109707,37.6,41.3,0.6,5.0,12.6,9.8,702250,11
Florida,12.0,26.4,77735,54.2,14.8,0.4,3.1,28.7,20.6,23372215,12
Georgia,12.6,26.2,79991,49.8,30.6,0.5,4.9,11.6,8.7,11180878,13
Hawaii,10.0,27.2,100745,21.9,1.8,0.3,36.3,10.2,28.4,1446146,15
Idaho,10.5,26.3,81166,80.9,0.8,1.1,1.5,14.3,10.7,2001619,16
Illinois,11.6,24.6,83211,60.2,13.2,0.8,6.4,19.4,10.7,12710158,17
Indiana,12.2,32.0,71959,76.0,9.1,0.5,2.7,9.0,8.0,6924275,18
Iowa,11.3,29.0,75501,83.2,4.2,0.4,2.6,7.8,7.0,3241488,19
Kansas,10.9,25.4,75514,75.0,5.3,0.8,3.0,14.2,11.7,2970606,20
Kentucky,15.6,32.1,64526,81.4,7.1,0.3,1.9,5.5,7.5,4588372,21
Louisiana,18.7,32.9,60986,56.4,30.4,0.7,1.8,7.8,8.1,4597740,22
Maine,10.6,29.5,76442,89.7,2.1,0.4,1.3,2.3,5.7,1405012,23
Maryland,9.1,23.1,102905,46.9,29.1,0.5,6.9,13.3,9.2,6263220,24
Massachusetts,9.7,22.2,104828,66.7,6.9,0.2,7.7,14.0,12.1,7136171,25
Michigan,13.4,27.5,72389,73.0,13.0,0.5,3.7,6.1,7.7,10140459,26
Minnesota,9.3,23.0,87117,75.9,7.6,1.0,5.3,6.7,7.3,5793151,27
Mississippi,17.8,29.4,59127,55.6,35.9,0.5,1.2,4.0,4.8,2943045,28
Missouri,12.3,29.5,71589,77.6,10.5,0.3,2.3,5.6,7.3,6245466,29
Montana,10.2,26.3,75340,84.6,0.3,5.4,0.8,4.9,7.7,1137233,30
Nebraska,10.9,25.2,76376,76.6,4.8,1.3,2.8,13.5,9.9,2005466,31
Nevada,11.6,28.0,81134,48.0,9.5,1.4,9.5,30.6,17.3,3267467,32
New Hampshire,7.2,26.3,99782,87.6,1.5,0.2,2.7,5.0,6.4,1409032,33
New Jersey,9.2,24.7,104294,52.3,12.9,0.7,10.7,23.5,12.1,9500851,34
New Mexico,16.4,26.3,67816,46.4,2.3,9.7,2.0,49.1,25.8,2130256,35
New York,14.0,24.0,85820,54.3,14.2,0.6,9.5,20.2,10.0,19867248,36
North Carolina,12.5,24.7,73958,60.8,19.8,1.2,3.6,12.0,8.9,11046024,37
North Dakota,11.1,24.3,77871,82.0,3.8,4.3,1.9,5.0,6.7,796568,38
Ohio,12.7,31.3,72212,76.0,12.2,0.2,2.8,5.1,7.0,11883304,39
Oklahoma,14.9,30.8,66148,64.1,6.6,7.1,2.6,13.5,15.1,4095393,40
Oregon,11.8,22.7,85220,73.5,1.9,1.1,4.9,15.5,12.2,4272371,41
Pennsylvania,11.6,32.4,77545,73.5,10.5,0.3,4.2,9.4,7.6,13078751,42
Rhode Island,12.2,27.4,83504,68.5,5.6,0.6,3.8,18.8,13.0,1112308,44
South Carolina,13.3,27.7,72350,63.2,23.6,0.5,2.0,7.9,8.0,5478831,45
South Dakota,10.4,27.9,76881,79.9,2.0,7.6,1.7,4.9,7.1,924669,46
Tennessee,13.5,30.7,71997,72.0,15.0,0.4,2.0,7.8,7.7,7227750,47
Texas,13.4,24.4,79721,47.2,12.3,0.9,6.1,40.3,24.0,31290831,48
Utah,8.3,22.4,96658,77.5,1.2,1.0,2.7,16.9,10.8,3503613,49
Vermont,9.0,25.8,82730,90.1,1.0,0.2,2.1,2.7,6.0,648493,50
Virginia,9.7,23.6,92090,59.3,18.2,0.4,7.2,11.6,10.2,8811195,51
Washington,9.9,21.1,99389,64.0,4.1,1.2,10.7,15.0,13.6,7958180,53
West Virginia,16.7,39.4,60798,89.4,3.2,0.2,0.7,2.3,5.4,1769979,54
Wisconsin,10.3,28.8,77488,79.6,6.1,0.8,3.1,8.4,7.8,5960975,55
Wyoming,10.1,27.9,75532,83.3,0.8,1.7,1.0,11.1,9.0,587618,56
Puerto Rico,37.3,null,27213,22.7,5.5,0.3,0.2,98.9,38.2,3203295,72
