NAME,DP03_0128PE,DP02_0062PE,DP03_0062E,DP05_0037PE,DP05_0038PE,DP05_0039PE,DP05_0044PE,DP05_0071PE,DP05_0035PE,DP05_0033E,state
Arkansas,16.1,33.9,49475,75.4,15.2,0.6,1.5,7.6,4.0,3011873,05
Washington,10.2,21.8,77006,73.5,3.9,1.2,8.8,12.9,7.1,7512465,53
Kansas,11.4,25.8,61091,83.0,5.7,0.8,3.0,12.1,4.8,2912619,20
Oklahoma,15.3,31.1,53840,71.1,7.3,7.7,2.2,10.9,8.7,3949342,40
Wisconsin,11.0,30.3,63293,84.3,6.3,0.8,2.8,7.0,3.4,5806975,55
Mississippi,19.6,30.1,46511,58.0,37.7,0.5,1.0,3.2,1.7,2981835,28
Missouri,13.0,30.5,57290,81.3,11.4,0.4,2.0,4.3,3.5,6124160,29
Michigan,13.7,28.5,59234,77.6,13.6,0.5,3.2,5.2,3.8,9973907,26
Rhode Island,11.6,28.0,70305,79.0,6.5,0.4,3.5,15.9,4.9,1057798,44
Minnesota,9.3,24.2,73382,81.6,6.4,1.0,4.9,5.5,3.9,5600166,27
Iowa,11.1,30.8,61836,89.1,3.7,0.3,2.5,6.2,3.0,3150011,19
New Mexico,18.6,26.2,51243,70.0,2.1,9.3,1.6,49.2,8.1,2097021,35
Nevada,12.8,27.9,62043,62.1,9.3,1.2,8.3,28.9,7.5,3030281,32
Delaware,11.4,31.0,69110,67.4,22.0,0.4,4.0,9.4,3.9,967679,10
Puerto Rico,43.4,null,21058,60.0,11.3,0.2,0.2,98.7,9.7,3255642,72
Kentucky,16.6,32.6,52238,86.2,8.1,0.2,1.5,3.8,2.8,4461952,21
South Dakota,12.8,30.2,59896,83.6,2.1,8.5,1.4,4.1,3.4,879336,46
Tennessee,14.6,31.8,54833,76.7,16.7,0.3,1.8,5.6,2.9,6772268,47
Pennsylvania,12.0,34.2,63627,79.4,11.1,0.2,3.5,7.6,3.4,12794885,42
California,12.6,20.4,78672,56.1,5.7,0.8,14.8,39.1,7.9,39346023,06
West Virginia,17.1,40.0,48037,92.5,3.6,0.2,0.8,1.6,2.4,1807426,54
Utah,9.1,22.8,74197,85.1,1.2,1.1,2.3,14.2,4.2,3151239,49
New York,13.6,25.5,71117,62.3,15.4,0.4,8.6,19.1,4.7,19514849,36
District of Columbia,15.5,16.6,90842,41.1,45.4,0.3,4.1,11.1,4.2,701974,11
Alaska,10.3,28.4,77790,63.4,3.2,14.6,6.4,7.2,9.3,736990,02
Florida,13.3,28.2,57703,71.6,15.9,0.3,2.8,25.8,6.0,21216924,12
South Carolina,14.7,28.9,54864,66.5,26.4,0.3,1.6,5.8,3.0,5091517,45
North Dakota,10.5,26.1,65315,85.7,3.2,5.2,1.6,4.0,3.1,760394,38
Maine,11.1,31.3,59489,93.7,1.4,0.7,1.1,1.7,2.8,1340825,23
Georgia,14.3,27.5,61224,57.2,31.6,0.3,4.1,9.6,3.7,10516579,13
Alabama,16.0,30.3,52035,67.5,26.6,0.5,1.4,4.4,2.4,4893186,01
New Hampshire,7.4,27.3,77923,92.0,1.6,0.2,2.7,3.9,2.9,1355244,33
Oregon,12.4,22.7,65667,82.6,1.9,1.1,4.5,13.2,6.2,4176346,41
Wyoming,10.8,28.6,65304,90.3,0.9,2.3,0.8,10.1,3.9,581348,56
Arizona,14.1,23.8,61529,73.8,4.5,4.3,3.3,31.5,7.0,7174064,04
Louisiana,18.6,33.3,50800,61.2,32.2,0.6,1.7,5.2,2.7,4664616,22
Indiana,12.9,33.2,58235,82.3,9.4,0.2,2.4,7.1,3.3,6696893,18
Idaho,11.9,26.7,58915,88.4,0.7,1.3,1.4,12.7,4.3,1754367,16
Connecticut,9.8,26.3,79855,74.2,10.7,0.3,4.6,16.4,4.8,3570549,09
Hawaii,9.3,27.3,83173,24.1,1.9,0.2,37.6,10.7,24.3,1420074,15
Illinois,12.0,25.6,68428,69.8,14.1,0.3,5.6,17.2,4.2,12716164,17
Massachusetts,9.8,23.5,84385,76.6,7.5,0.2,6.8,12.0,4.8,6873003,25
Texas,14.2,24.7,63826,69.2,12.1,0.5,4.9,39.4,7.0,28635442,48
Montana,12.8,28.1,56539,87.8,0.6,6.2,0.8,3.9,3.8,1061705,30
Nebraska,10.4,25.7,63015,85.3,4.8,0.9,2.5,11.2,3.9,1923826,31
Ohio,13.6,32.8,58116,80.5,12.4,0.2,2.3,3.9,3.6,11675275,39
Colorado,9.8,21.2,75231,81.5,4.1,0.9,3.2,21.7,5.9,5684926,08
New Jersey,9.7,26.7,85245,65.5,13.4,0.3,9.7,20.4,4.8,8885418,34
Maryland,9.0,24.2,87063,54.2,29.9,0.3,6.4,10.3,4.5,6037624,24
Virginia,10.0,23.9,76398,66.3,19.0,0.3,6.7,9.5,4.8,8509358,51
Vermont,10.8,28.3,63477,93.6,1.3,0.3,1.6,2.0,2.7,624340,50
North Carolina,14.0,25.5,56642,67.6,21.4,1.2,3.0,9.5,3.6,10386227,37
